"Manager","MgrCik","Period","CUSIP","Name","Class","PutCall","Value","Shares"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","N59465109","MYLAN N V","SHS EURO","","43088","796900"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","678026105","OIL STS INTL INC","COM","","15580","571728"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","678026105","OIL STS INTL INC","COM","","600","22000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","678026105","OIL STS INTL INC","COM","","8003","293700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","682189105","ON SEMICONDUCTOR CORP","COM","","18421","1879721"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","682189105","ON SEMICONDUCTOR CORP","COM","","3751","382800"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","682189105","ON SEMICONDUCTOR CORP","COM","","8628","880370"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","690768403","OWENS ILL INC","COM NEW","","48154","2764300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","690768403","OWENS ILL INC","COM NEW","","10661","612000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","690768403","OWENS ILL INC","COM NEW","","22536","1293700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","80004C101","SANDISK CORP","COM","","21042","276900"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","80004C101","SANDISK CORP","COM","","4643","61100"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","80004C101","SANDISK CORP","COM","","9674","127300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","80874P109","SCIENTIFIC GAMES CORP","CL A","","7740","862915"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","80874P109","SCIENTIFIC GAMES CORP","CL A","","1715","191200"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","80874P109","SCIENTIFIC GAMES CORP","CL A","","3576","398700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","86732Y109","SUNEDISON INC","COM","","54611","10729026"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","86732Y109","SUNEDISON INC","COM","","14189","2787700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","86732Y109","SUNEDISON INC","COM","","24835","4879247"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","86732Y109","SUNEDISON INC","COM","","1066","209400"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","86732YAC3","SUNEDISON INC","NOTE  2.000%10/0","","7235","13271500"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","86732YAC3","SUNEDISON INC","NOTE  2.000%10/0","","1595","2925200"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","86732YAC3","SUNEDISON INC","NOTE  2.000%10/0","","3306","6063300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","Y8213L102","SUNEDISON SEMICONDUCTOR LTD","SHS","","2455","313135"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","Y8213L102","SUNEDISON SEMICONDUCTOR LTD","SHS","","527","67200"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","Y8213L102","SUNEDISON SEMICONDUCTOR LTD","SHS","","1108","141300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","874054109","TAKE-TWO INTERACTIVE SOFTWAR","COM","","64671","1856224"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","874054109","TAKE-TWO INTERACTIVE SOFTWAR","COM","","14267","409500"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","874054109","TAKE-TWO INTERACTIVE SOFTWAR","COM","","29718","852982"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","88104M101","TERRAFORM GLOBAL INC","CL A","","6287","1124700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","88104M101","TERRAFORM GLOBAL INC","CL A","","1392","249000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","88104M101","TERRAFORM GLOBAL INC","CL A","","2942","526300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","88104R100","TERRAFORM PWR INC","CL A COM","","21338","1696200"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","88104R100","TERRAFORM PWR INC","CL A COM","","4707","374200"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","88104R100","TERRAFORM PWR INC","CL A COM","","9807","779600"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","887317303","TIME WARNER INC","COM NEW","","245129","3790465"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","887317303","TIME WARNER INC","COM NEW","","54071","836100"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","887317303","TIME WARNER INC","COM NEW","","112644","1741835"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","887317303","TIME WARNER INC","COM NEW","","4650","71900"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","87265H109","TRI POINTE GROUP INC","COM","","36176","2855261"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","87265H109","TRI POINTE GROUP INC","COM","","8493","670300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","87265H109","TRI POINTE GROUP INC","COM","","15971","1260500"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","90130A101","TWENTY FIRST CENTY FOX INC","CL A","","69810","2570315"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","90130A101","TWENTY FIRST CENTY FOX INC","CL A","","15364","565700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","90130A101","TWENTY FIRST CENTY FOX INC","CL A","","32138","1183300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","92857W308","VODAFONE GROUP PLC NEW","SPNSR ADR NO PAR","","14703","455765"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","92857W308","VODAFONE GROUP PLC NEW","SPNSR ADR NO PAR","","1242","38499"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","92857W308","VODAFONE GROUP PLC NEW","SPNSR ADR NO PAR","","12744","395030"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","929089100","VOYA FINL INC","COM","","80085","2169740"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","929089100","VOYA FINL INC","COM","","17536","475100"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","929089100","VOYA FINL INC","COM","","37078","1004541"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","984332106","YAHOO INC","COM","","40391","1214400"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","984332106","YAHOO INC","COM","","9210","276900"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","984332106","YAHOO INC","COM","","17751","533700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","985817105","YELP INC","CL A","","7539","261766"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","985817105","YELP INC","CL A","","3499","121500"
"Viking Global Investors LP","0001103804","12-31-2015","001055102","AFLAC INC","COM","","63686","1063197"
"Viking Global Investors LP","0001103804","12-31-2015","00817Y108","AETNA INC NEW","COM","","134837","1247101"
"Viking Global Investors LP","0001103804","12-31-2015","064058100","BANK NEW YORK MELLON CORP","COM","","362964","8805531"
"Viking Global Investors LP","0001103804","12-31-2015","09062X103","BIOGEN INC","COM","","113001","368864"
"Viking Global Investors LP","0001103804","12-31-2015","111320107","BROADCOM CORP","CL A","","1951264","33747218"
"Viking Global Investors LP","0001103804","12-31-2015","127097103","CABOT OIL & GAS CORP","COM","","237227","13410258"
"Viking Global Investors LP","0001103804","12-31-2015","131347304","CALPINE CORP","COM NEW","","70635","4881477"
"Viking Global Investors LP","0001103804","12-31-2015","13645T100","CANADIAN PAC RY LTD","COM","","510603","4001587"
"Viking Global Investors LP","0001103804","12-31-2015","16411R208","CHENIERE ENERGY INC","COM NEW","","593039","15920523"
"Viking Global Investors LP","0001103804","12-31-2015","169656105","CHIPOTLE MEXICAN GRILL INC","COM","","330800","689383"
"Viking Global Investors LP","0001103804","12-31-2015","172967424","CITIGROUP INC","COM NEW","","221074","4271971"
"Viking Global Investors LP","0001103804","12-31-2015","22822V101","CROWN CASTLE INTL CORP NEW","COM","","258993","2995866"
"Viking Global Investors LP","0001103804","12-31-2015","009158106","AIR PRODS & CHEMS INC","COM","","700701","5385451"
"Viking Global Investors LP","0001103804","12-31-2015","22943F100","CTRIP COM INTL LTD","AMERICAN DEP SHS","","174532","3767142"
"Viking Global Investors LP","0001103804","12-31-2015","249030107","DENTSPLY INTL INC NEW","COM","","62996","1035264"
"Viking Global Investors LP","0001103804","12-31-2015","260003108","DOVER CORP","COM","","32272","526369"
"Viking Global Investors LP","0001103804","12-31-2015","292505104","ENCANA CORP","COM","","20352","3998444"
"Viking Global Investors LP","0001103804","12-31-2015","29273V100","ENERGY TRANSFER EQUITY L P","COM UT LTD PTN","","23460","1707427"
"Viking Global Investors LP","0001103804","12-31-2015","29413U103","ENVISION HEALTHCARE HLDGS IN","COM","","202782","7808316"
"Viking Global Investors LP","0001103804","12-31-2015","31680Q104","58 COM INC","SPON ADR REP A","","123197","1867746"
"Viking Global Investors LP","0001103804","12-31-2015","402635304","GULFPORT ENERGY CORP","COM NEW","","16478","670667"
"Viking Global Investors LP","0001103804","12-31-2015","406216101","HALLIBURTON CO","COM","","226947","6667076"
"Viking Global Investors LP","0001103804","12-31-2015","444859102","HUMANA INC","COM","","773294","4331936"
"Viking Global Investors LP","0001103804","12-31-2015","009728106","AKORN INC","COM","","68701","1841346"
"Viking Global Investors LP","0001103804","12-31-2015","485170302","KANSAS CITY SOUTHERN","COM NEW","","28049","375639"
"Viking Global Investors LP","0001103804","12-31-2015","49803L109","KITE PHARMA INC","COM","","136008","2207203"
"Viking Global Investors LP","0001103804","12-31-2015","500754106","KRAFT HEINZ CO","COM","","151537","2082693"
"Viking Global Investors LP","0001103804","12-31-2015","50540R409","LABORATORY CORP AMER HLDGS","COM NEW","","396725","3208708"
"Viking Global Investors LP","0001103804","12-31-2015","524901105","LEGG MASON INC","COM","","96860","2469033"
"Viking Global Investors LP","0001103804","12-31-2015","571748102","MARSH & MCLENNAN COS INC","COM","","88278","1592022"
"Viking Global Investors LP","0001103804","12-31-2015","57636Q104","MASTERCARD INC","CL A","","15798","162264"
"Viking Global Investors LP","0001103804","12-31-2015","580135101","MCDONALDS CORP","COM","","61910","524043"
"Viking Global Investors LP","0001103804","12-31-2015","58155Q103","MCKESSON CORP","COM","","544748","2761995"
"Viking Global Investors LP","0001103804","12-31-2015","61166W101","MONSANTO CO NEW","COM","","88254","895800"
"Viking Global Investors LP","0001103804","12-31-2015","01609W102","ALIBABA GROUP HLDG LTD","SPONSORED ADS","","132392","1629041"
"Viking Global Investors LP","0001103804","12-31-2015","64110L106","NETFLIX INC","COM","","896999","7842269"
"Viking Global Investors LP","0001103804","12-31-2015","654106103","NIKE INC","CL B","","328916","5262662"
"Viking Global Investors LP","0001103804","12-31-2015","717081103","PFIZER INC","COM","","239669","7424690"
"Viking Global Investors LP","0001103804","12-31-2015","723787107","PIONEER NAT RES CO","COM","","1174949","9371105"
"Viking Global Investors LP","0001103804","12-31-2015","741503403","PRICELINE GRP INC","COM NEW","","501328","393214"
"Viking Global Investors LP","0001103804","12-31-2015","744320102","PRUDENTIAL FINL INC","COM","","98816","1213808"
"Viking Global Investors LP","0001103804","12-31-2015","74906P104","QUNAR CAYMAN IS LTD","SPNS ADR CL B","","449490","8522747"
"Viking Global Investors LP","0001103804","12-31-2015","75281A109","RANGE RES CORP","COM","","39216","1593510"
"Viking Global Investors LP","0001103804","12-31-2015","82481R106","SHIRE PLC","SPONSORED ADR","","28126","137198"
"Viking Global Investors LP","0001103804","12-31-2015","82966C103","SIRONA DENTAL SYSTEMS INC","COM","","3799","34671"
"Viking Global Investors LP","0001103804","12-31-2015","02079K107","ALPHABET INC","CAP STK CL C","","870007","1146435"
"Viking Global Investors LP","0001103804","12-31-2015","845467109","SOUTHWESTERN ENERGY CO","COM","","82999","11673609"
"Viking Global Investors LP","0001103804","12-31-2015","881624209","TEVA PHARMACEUTICAL INDS LTD","ADR","","1643873","25043775"
"Viking Global Investors LP","0001103804","12-31-2015","883203101","TEXTRON INC","COM","","244382","5817245"
"Viking Global Investors LP","0001103804","12-31-2015","893641100","TRANSDIGM GROUP INC","COM","","365549","1600128"
"Viking Global Investors LP","0001103804","12-31-2015","91911K102","VALEANT PHARMACEUTICALS INTL","COM","","792199","7793397"
"Viking Global Investors LP","0001103804","12-31-2015","92532F100","VERTEX PHARMACEUTICALS INC","COM","","178889","1421673"
"Viking Global Investors LP","0001103804","12-31-2015","931427108","WALGREENS BOOTS ALLIANCE INC","COM","","1087557","12771497"
"Viking Global Investors LP","0001103804","12-31-2015","94946T106","WELLCARE HEALTH PLANS INC","COM","","19333","247191"
"Viking Global Investors LP","0001103804","12-31-2015","G0177J108","ALLERGAN PLC","SHS","","1868148","5978075"
"Viking Global Investors LP","0001103804","12-31-2015","G30401106","ENDO INTL PLC","SHS","","276773","4520954"
"Viking Global Investors LP","0001103804","12-31-2015","02079K305","ALPHABET INC","CAP STK CL A","","1442010","1853460"
"Viking Global Investors LP","0001103804","12-31-2015","N53745100","LYONDELLBASELL INDUSTRIES N","SHS - A -","","810606","9328028"
"Viking Global Investors LP","0001103804","12-31-2015","N71542109","PROQR THRAPEUTICS N V","SHS EURO","","5049","581668"
"Viking Global Investors LP","0001103804","12-31-2015","Y0486S104","AVAGO TECHNOLOGIES LTD","SHS","","1069014","7364891"
"Viking Global Investors LP","0001103804","12-31-2015","023135106","AMAZON COM INC","COM","","1735311","2567446"
"Viking Global Investors LP","0001103804","12-31-2015","032511107","ANADARKO PETE CORP","COM","","223030","4590975"
"Viking Global Investors LP","0001103804","12-31-2015","036752103","ANTHEM INC","COM","","932430","6686965"
"Viking Global Investors LP","0001103804","12-31-2015","H0023R105","ACE LTD","SHS","","97191","831759"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","009128957","AIR METHODS CORP","PUT","Put","2567","2900"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","009158106","AIR PRODS & CHEMS INC","COM","","5643","39175"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","009158106","AIR PRODS & CHEMS INC","COM","","19735","137001"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","009158106","AIR PRODS & CHEMS INC","COM","","13641","94695"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","01988P108","ALLSCRIPTS HEALTHCARE SOLUTN","COM","","21646","1638615"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","01988P108","ALLSCRIPTS HEALTHCARE SOLUTN","COM","","81354","6158549"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","01988P108","ALLSCRIPTS HEALTHCARE SOLUTN","COM","","35799","2709985"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","G0750C108","AXALTA COATING SYS LTD","COM","","3870","132538"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","G0750C108","AXALTA COATING SYS LTD","COM","","14704","503562"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","G0750C108","AXALTA COATING SYS LTD","COM","","6012","205886"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","058498106","BALL CORP","COM","","5998","84141"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","128195104","CALATLANTIC GROUP INC","COM","","5207","155812"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","128195104","CALATLANTIC GROUP INC","COM","","22454","671874"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","128195104","CALATLANTIC GROUP INC","COM","","8064","241300"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","16941T104","CHINA PHARMA HLDGS INC","COM","","34","200000"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","169424207","CHINA TECHFAITH WIRLS COMM T","SPON ADR NEW","","819","192602"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","16948F107","CHINA XD PLASTICS CO LTD","COM","","2242","696160"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","16948F107","CHINA XD PLASTICS CO LTD","COM","","4484","1392494"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","16948F107","CHINA XD PLASTICS CO LTD","COM","","1603","497744"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","G2110R114","CHIPMOS TECH BERMUDA LTD","SHS","","1526","87819"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","G2110R114","CHIPMOS TECH BERMUDA LTD","SHS","","5816","334626"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","G2110R114","CHIPMOS TECH BERMUDA LTD","SHS","","2390","137521"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","21925Y103","CORNERSTONE ONDEMAND INC","COM","","5790","176697"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","21925Y103","CORNERSTONE ONDEMAND INC","COM","","23777","725584"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","21925Y103","CORNERSTONE ONDEMAND INC","COM","","8951","273160"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","25065K104","DESTINATION XL GROUP INC","COM","","9278","1794615"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","25065K104","DESTINATION XL GROUP INC","COM","","16712","3232536"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","25065K104","DESTINATION XL GROUP INC","COM","","6354","1228966"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","253393102","DICKS SPORTING GOODS INC","COM","","23270","497747"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","253393102","DICKS SPORTING GOODS INC","COM","","90497","1935768"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","253393102","DICKS SPORTING GOODS INC","COM","","43829","937529"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","253393952","DICKS SPORTING GOODS INC","PUT","Put","199","1244"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","253393952","DICKS SPORTING GOODS INC","PUT","Put","775","4841"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","253393952","DICKS SPORTING GOODS INC","PUT","Put","375","2343"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","256746108","DOLLAR TREE INC","COM","","1178","14291"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","257287102","DOMINION DIAMOND CORP","COM","","1615","145637"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","257287102","DOMINION DIAMOND CORP","COM","","3635","327803"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","257287102","DOMINION DIAMOND CORP","COM","","1715","154658"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","268158201","DYNAVAX TECHNOLOGIES CORP","COM NEW","","3550","184516"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","268158201","DYNAVAX TECHNOLOGIES CORP","COM NEW","","13844","719524"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","268158201","DYNAVAX TECHNOLOGIES CORP","COM NEW","","5126","266400"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","268158901","DYNAVAX TECHNOLOGIES CORP","CALL","Call","425","1062"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","268158901","DYNAVAX TECHNOLOGIES CORP","CALL","Call","1626","4064"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","268158901","DYNAVAX TECHNOLOGIES CORP","CALL","Call","266","665"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","269246401","E TRADE FINANCIAL CORP","COM NEW","","53654","2190854"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","38388F108","GRACE W R & CO DEL NEW","COM","","4207","59103"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","38388F108","GRACE W R & CO DEL NEW","COM","","18116","254511"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","38388F108","GRACE W R & CO DEL NEW","COM","","6511","91472"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","40251W309","GULF RESOURCES INC","COM PAR $0.0005","","960","596149"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","44157R109","HOUGHTON MIFFLIN HARCOURT CO","COM","","23009","1153929"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","44157R109","HOUGHTON MIFFLIN HARCOURT CO","COM","","91934","4610542"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","44157R109","HOUGHTON MIFFLIN HARCOURT CO","COM","","37731","1892234"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","464287956","ISHARES TR","PUT","Put","3224","2519"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","464287955","ISHARES TR","PUT","Put","906","4400"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","464287955","ISHARES TR","PUT","Put","2191","6500"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","464287955","ISHARES TR","PUT","Put","5511","9500"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","464287955","ISHARES TR","PUT","Put","5988","9500"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","464287955","ISHARES TR","PUT","Put","6622","9500"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","47973J102","JOINT CORP","COM","","1688","539282"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","47973J102","JOINT CORP","COM","","4342","1387283"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","47973J102","JOINT CORP","COM","","1620","517518"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","505743104","LADDER CAP CORP","CL A","","6698","538027"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","505743104","LADDER CAP CORP","CL A","","22647","1819076"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","505743104","LADDER CAP CORP","CL A","","8485","681502"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","529771907","LEXMARK INTL INC","CALL","Call","89","562"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","529771907","LEXMARK INTL INC","CALL","Call","399","2512"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","529771907","LEXMARK INTL INC","CALL","Call","142","893"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","529771907","LEXMARK INTL INC","CALL","Call","389","1218"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","529771907","LEXMARK INTL INC","CALL","Call","1648","5166"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","529771907","LEXMARK INTL INC","CALL","Call","610","1911"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","536252109","LIONBRIDGE TECHNOLOGIES INC","COM","","9421","1861782"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","536252109","LIONBRIDGE TECHNOLOGIES INC","COM","","25285","4996985"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","536252109","LIONBRIDGE TECHNOLOGIES INC","COM","","8158","1612222"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","58441K100","MEDIA GEN INC NEW","COM","","9158","561485"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","58441K100","MEDIA GEN INC NEW","COM","","34894","2139408"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","58441K100","MEDIA GEN INC NEW","COM","","14210","871218"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","594972408","MICROSTRATEGY INC","CL A NEW","","19512","108568"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","594972408","MICROSTRATEGY INC","CL A NEW","","76871","427728"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","594972408","MICROSTRATEGY INC","CL A NEW","","31982","177952"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","64115T104","NETSCOUT SYS INC","COM","","2322","101076"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","64115T104","NETSCOUT SYS INC","COM","","9298","404781"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","64115T104","NETSCOUT SYS INC","COM","","3830","166733"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","676220106","OFFICE DEPOT INC","COM","","35483","4997571"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","676220106","OFFICE DEPOT INC","COM","","13688","1927901"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","676220906","OFFICE DEPOT INC","CALL","Call","247","1235"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","676220906","OFFICE DEPOT INC","CALL","Call","1025","5125"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","676220906","OFFICE DEPOT INC","CALL","Call","228","1140"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","676220106","OFFICE DEPOT INC","COM","","9230","1299974"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","690370101","OVERSTOCK COM INC DEL","COM","","167","11588"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","690370101","OVERSTOCK COM INC DEL","COM","","725","50415"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","690370101","OVERSTOCK COM INC DEL","COM","","258","17937"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","698354107","PANDORA MEDIA INC","COM","","5554","620554"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","698354107","PANDORA MEDIA INC","COM","","23268","2599743"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","698354107","PANDORA MEDIA INC","COM","","8654","966972"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","74732Y303","QKL STORES INC","COM PAR $0.001","","12","19244"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","81684M104","SEMLER SCIENTIFIC INC","COM","","1026","497864"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","827048909","SILGAN HOLDINGS INC","CALL","Call","98","804"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","827048909","SILGAN HOLDINGS INC","CALL","Call","424","3465"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","827048909","SILGAN HOLDINGS INC","CALL","Call","155","1265"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","829226109","SINCLAIR BROADCAST GROUP INC","CL A","","3462","112594"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","829226109","SINCLAIR BROADCAST GROUP INC","CL A","","7738","251641"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","829226109","SINCLAIR BROADCAST GROUP INC","CL A","","3481","113192"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","83190B101","SMART & FINAL STORES INC","COM","","7849","484478"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","83190B101","SMART & FINAL STORES INC","COM","","31224","1927425"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","83190B101","SMART & FINAL STORES INC","COM","","12409","766010"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","83415T101","SOLAZYME INC","COM","","4513","2222983"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","85571B105","STARWOOD PPTY TR INC","COM","","79273","4187713"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","85571B105","STARWOOD PPTY TR INC","COM","","34849","1840938"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","85571B105","STARWOOD PPTY TR INC","COM","","23498","1241298"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","868536103","SUPERVALU INC","COM","","12024","2087549"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","868536103","SUPERVALU INC","COM","","51875","9006117"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","868536103","SUPERVALU INC","COM","","18893","3280091"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","87074U101","SWIFT TRANSN CO","CL A","","3088","165736"
"GLENHILL ADVISORS LLC","0001137521","03-31-2016","87074U101","SWIFT TRANSN CO","CL A","","13317","714831"
